City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nikko,36.75,139.6167,286.86,92,100,2.41,JP,1712542220
83,khandyga,62.6667,135.6,266.21,86,100,1.83,RU,1712542076
84,west island,-12.1568,96.8225,302.14,74,40,5.66,CC,1712542089
85,badger,64.8,-147.5333,276.29,65,20,3.09,US,1712542168
86,pimentel,-6.8367,-79.9342,297.31,73,75,6.17,PE,1712542210
87,labytnangi,66.6572,66.4183,261.69,94,57,4.27,RU,1712542221
88,nahiyat ash shinafiyah,31.5874,44.6602,296.01,47,0,2.65,IQ,1712542221
89,stanley,54.868,-1.6985,280.21,79,0,2.06,GB,1712542138
90,ust-nera,64.5667,143.2,266.01,86,88,1.88,RU,1712542138
91,machico,32.7,-16.7667,291.88,80,20,1.54,PT,1712542222
92,mount isa,-20.7333,139.5,302.02,30,4,5.66,AU,1712542029
93,barakani,-12.1356,44.4317,301.23,80,100,3.47,KM,1712542155
94,egilsstadir,65.2653,-14.3948,272.86,97,100,10.08,IS,1712542222
95,papatowai,-46.5619,169.4708,288.7,65,100,2.18,NZ,1712542223
96,umea,63.8284,20.2597,274.77,100,0,1.54,SE,1712542223
97,nova sintra,14.8667,-24.7167,296.49,76,0,12.72,CV,1712541697
98,kilju,40.9642,129.3278,291.76,33,100,4.8,KP,1712542159
99,fort frances,48.5999,-93.4003,282.27,31,40,5.14,CA,1712542126
100,mtsamboro,-12.6998,45.0689,300.77,74,73,3.28,YT,1712542224
101,puerto maldonado,-12.6,-69.1833,297.5,94,100,0.98,PE,1712542224
102,georgetown,5.4112,100.3354,304.11,66,20,1.54,MY,1712541547
103,lorengau,-2.0226,147.2712,301.21,78,100,1.96,PG,1712542224
104,ciudad lazaro cardenas,17.9583,-102.2,297.1,75,25,3.79,MX,1712542160
105,north mackay,-21.1167,149.1833,303.53,76,14,4.97,AU,1712542225
106,tiksi,71.6872,128.8694,258.86,77,4,7.3,RU,1712542225
107,nantucket,41.2835,-70.0995,277.21,83,20,2.57,US,1712542105
108,lesnoy,57.6198,63.0784,274.41,98,100,2.42,RU,1712542225
109,haapajarvi,63.75,25.3333,274.51,98,100,5.74,FI,1712542225
110,cuatro cienegas de carranza,26.9833,-102.0833,293.31,16,43,2.76,MX,1712542203
111,cobram,-35.9167,145.65,293.85,49,0,3.65,AU,1712542213
112,karukh,34.4811,62.5863,289.66,23,100,2.05,AF,1712542226
113,afaahiti,-17.75,-149.2833,303.08,78,70,4.72,PF,1712542128
114,whitehorse,60.7161,-135.0538,276.49,51,100,2.68,CA,1712542226
115,juan rodriguez clara,17.9833,-95.4083,300.97,68,33,1.25,MX,1712542226
116,wailua homesteads,22.0669,-159.378,300.39,78,100,7.72,US,1712542227
117,san luis de la loma,17.2706,-100.8939,298.28,74,0,3.56,MX,1712542227
118,guymon,36.6828,-101.4816,287.15,23,0,2.57,US,1712541929
119,thompson,55.7435,-97.8558,273.94,96,53,1.34,CA,1712542028
120,toropets,56.4978,31.6353,281.76,90,76,3.88,RU,1712542227
121,meadow lake,34.8014,-106.5436,286.69,18,0,4.61,US,1712542227
122,vorkuta,67.5,64.0,260.99,96,97,5.36,RU,1712542017
123,kerikeri,-35.2268,173.9474,292.52,53,53,3.64,NZ,1712542091
124,lahij,13.1667,44.5833,297.0,76,52,2.01,YE,1712542228
125,ishinomaki,38.4167,141.3,288.11,91,100,3.15,JP,1712542228
126,kavaratti,10.5669,72.642,302.3,71,76,2.45,IN,1712542001
127,punta del este,-34.9667,-54.95,292.52,93,0,1.54,UY,1712542228
128,lihue,21.9789,-159.3672,300.73,73,100,7.72,US,1712542090
129,atar,20.5169,-13.0499,296.3,34,0,4.1,MR,1712542023
130,lebu,-37.6167,-73.65,286.25,98,100,2.52,CL,1712542229
131,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,82,75,3.0,RU,1712542127
132,argo,37.6333,22.7333,287.66,69,0,7.89,GR,1712541969
133,mhamid,29.82,-5.72,296.29,20,59,2.2,MA,1712542230
134,rikaze,29.25,88.8833,277.18,36,0,1.42,CN,1712542210
135,bikenibeu village,1.3673,173.1241,301.36,81,28,7.63,KI,1712542230
136,san giovanni in fiore,39.2633,16.6996,284.85,41,0,1.6,IT,1712542230
137,chinsali,-10.5414,32.0816,290.18,98,98,1.57,ZM,1712542231
138,margaret river,-33.95,115.0667,292.11,50,3,5.63,AU,1712542085
139,persembe,41.0656,37.7714,282.83,72,100,2.74,TR,1712542231
140,tangalle,6.024,80.7911,299.24,84,100,1.57,LK,1712542170
141,durazno,-33.4131,-56.5006,288.05,92,0,2.88,UY,1712542045
142,nadi,-17.8,177.4167,304.15,62,40,6.69,FJ,1712541978
143,aasiaat,68.7098,-52.8699,264.72,92,98,1.81,GL,1712542232
144,laojunmiao,39.8333,97.7333,279.23,33,3,1.42,CN,1712542232
145,camiri,-20.05,-63.5167,294.36,99,100,0.99,BO,1712542232
146,karlskrona,56.1616,15.5866,281.4,93,100,2.06,SE,1712542021
147,fisterra,42.9049,-9.2629,285.79,95,100,14.19,ES,1712542037
148,nehe,48.4833,124.8333,271.45,25,0,5.01,CN,1712542233
149,keflavik,64.0049,-22.5624,274.1,74,40,11.32,IS,1712541998
150,constantia,44.1833,28.65,282.53,88,1,3.79,RO,1712541963
151,baikonur,45.6167,63.3167,285.94,59,100,3.5,KZ,1712542233
152,chernyshevskiy,63.0128,112.4714,270.83,97,100,4.03,RU,1712542234
153,santa ana de yacuma,-13.75,-65.4333,298.85,88,100,2.36,BO,1712542234
154,lensk,60.7253,114.9278,272.35,72,99,1.81,RU,1712542207
155,gusinoozyorsk,51.2833,106.5,277.9,66,83,1.09,RU,1712542234
156,zharkent,44.1628,80.0,284.34,63,100,2.43,KZ,1712542234
157,nouadhibou,20.931,-17.0347,291.14,72,0,9.26,MR,1712542219
158,saipan,15.1355,145.701,305.54,58,20,9.26,MP,1712542206
159,hithadhoo,-0.6,73.0833,301.87,73,100,2.09,MV,1712542235
160,paracuru,-3.41,-39.0306,299.88,88,100,1.59,BR,1712541950
161,tolanaro,-25.0319,46.9987,296.08,89,100,3.9,MG,1712542235
162,timimoun,29.2639,0.231,299.56,12,18,1.86,DZ,1712542193
163,saint-joseph,-21.3667,55.6167,296.36,86,61,1.7,RE,1712542174
164,maralal,1.0968,36.698,289.06,86,100,1.45,KE,1712542235
165,sisimiut,66.9395,-53.6735,266.68,89,97,4.09,GL,1712542236
166,utrik,11.2278,169.8474,300.18,82,100,9.18,MH,1712542148
167,najran,17.4924,44.1277,295.95,54,15,2.13,SA,1712542236
168,sinabang,2.4803,96.3801,301.51,80,77,1.31,ID,1712542008
169,mpika,-11.8343,31.4529,289.9,98,100,2.65,ZM,1712542236
170,sabang,5.8933,95.3214,302.19,70,24,4.65,ID,1712542236
171,masterton,-40.9597,175.6575,293.21,35,0,3.56,NZ,1712542072
172,spring creek,40.7266,-115.5859,275.77,59,89,4.47,US,1712541776
173,pierre,44.3683,-100.351,278.63,85,100,5.14,US,1712542141
174,trairi,-3.2778,-39.2689,297.45,93,98,1.58,BR,1712542200
175,shihezi,44.3,86.0333,288.16,44,100,2.65,CN,1712542237
176,sitka,57.0531,-135.33,277.09,81,100,4.63,US,1712541981
177,jamestown,42.097,-79.2353,281.95,42,0,4.12,US,1712541988
178,dapitan,8.6464,123.4208,301.67,72,57,6.36,PH,1712542238
